"naics","est.total","emp.total"
"------",3823.1943309,31315.1795022542
"23----",343.3734513,5252.71848725952
"236///",130.099141,3203.4331897631
"2361//",122.7107125,3186.13401846309
"23611/",122.7107125,3186.13401846309
"236115",43.6297423,3417.43372449802
"236117",8.776857,1003.95074991806
"236118",63.9156847,2579.55201963988
"2362//",4.4330571,646.766390433333
"23622/",4.4330571,646.766390433333
"236220",4.4330571,646.766390433333
"238///",197.7652249,5109.35293355238
"2381//",39.2280849,3192.96700459266
"2382//",79.1123699,4977.68686295159
"23821/",35.5404851,2789.57481708373
"238210",35.5404851,2789.57481708373
"23822/",38.7503992,3662.80382925833
"238220",38.7503992,3662.80382925833
"2383//",50.7057706,2855.2064584
"23832/",8.9107428,249.7857428
"238320",8.9107428,249.7857428
"23835/",11.2099141,968.029626022222
"238350",11.2099141,968.029626022222
"2389//",24.3751996,2222.24882685079
"23891/",13.2099141,1999.48807398889
"238910",13.2099141,1999.48807398889
"23899/",9.7322284,1477.94102026667
"238990",9.7322284,1477.94102026667
"31----",51.8396564,6071.40060787778
"311///",10.3437999,1609.49684515556
"323///",3,645.333333333333
"3231//",3,645.333333333333
"32311/",3,645.333333333333
"323111",3,645.333333333333
"325///",3,645.333333333333
"332///",3,645.333333333333
"3323//",3,645.333333333333
"33232/",3,645.333333333333
"42----",94.6479131,2657.13345196508
"423///",53.8396564,1731.61639825556
"4232//",3,645.333333333333
"42322/",3,645.333333333333
"423220",3,645.333333333333
"4233//",3,645.333333333333
"4234//",4,860.444444444444
"4236//",5,486.75
"42369/",3,645.333333333333
"423690",3,645.333333333333
"4237//",4.4330571,646.766390433333
"42373/",3,645.333333333333
"423730",3,645.333333333333
"4238//",4.4330571,311.266505066667
"4239//",4,4
"424///",28.0313997,3078.53888387639
"4244//",8.4330571,490.1830571
"42449/",3,645.333333333333
"424490",3,645.333333333333
"425///",4,244.875
"4251//",4,244.875
"42512/",4,244.875
"425120",4,244.875
"44----",689.1503083,9281.55112849107
"441///",43.2280849,4357.90130360397
"4411//",13.1206569,1793.66016363651
"44111/",8.2545427,1283.95362035714
"441110",8.2545427,1283.95362035714
"4413//",11.2545427,1649.55604935556
"44131/",7.8214856,1682.48845795556
