"sector","Variable","year","value","group","value0","USAGDPDEFAISMEI","label","scaled"
NA,"Gross Domestic Product",2018,5073756708.64752,"As recorded",5073756708.64752,105.112221863417,"Coastal Value Added [billion 2022$]",5.85160833084877
NA,"Total Personal Income",2018,5479136807.10825,"As recorded",5479136807.10825,105.112221863417,"Coastal Personal Income [billion 2022$]",6.31913677131778
NA,"Total Employement",2018,66004.7773687627,"As recorded",66004.7773687627,105.112221863417,"Coastal Employment [thousands]",66.0047773687627
NA,"Gross Domestic Product",2019,5675947373.08126,"As recorded",5675947373.08126,106.876538692045,"Coastal Value Added [billion 2022$]",6.43805684622284
NA,"Total Personal Income",2019,5315005889.84059,"As recorded",5315005889.84059,106.876538692045,"Coastal Personal Income [billion 2022$]",6.02865174879645
NA,"Total Employement",2019,65858.9451074141,"As recorded",65858.9451074141,106.876538692045,"Coastal Employment [thousands]",65.8589451074141
NA,"Gross Domestic Product",2020,5799711163.49861,"As recorded",5799711163.49861,108.287966074286,"Coastal Value Added [billion 2022$]",6.49269491161136
NA,"Total Personal Income",2020,6021812247.31774,"As recorded",6021812247.31774,108.287966074286,"Coastal Personal Income [billion 2022$]",6.74133394485348
NA,"Total Employement",2020,63044.9861644789,"As recorded",63044.9861644789,108.287966074286,"Coastal Employment [thousands]",63.0449861644789
NA,"Gross Domestic Product",2021,6994919663.04032,"As recorded",6994919663.04032,113.252692384595,"Coastal Value Added [billion 2022$]",7.48743426965285
NA,"Total Personal Income",2021,6643987810.95006,"As recorded",6643987810.95006,113.252692384595,"Coastal Personal Income [billion 2022$]",7.11179318980787
NA,"Total Employement",2021,68096.033272184,"As recorded",68096.033272184,113.252692384595,"Coastal Employment [thousands]",68.096033272184
NA,"Gross Domestic Product",2022,7586829334.0702,"As recorded",7586829334.0702,121.226851906731,"Coastal Value Added [billion 2022$]",7.5868293340702
NA,"Total Personal Income",2022,7648251399.96041,"As recorded",7648251399.96041,121.226851906731,"Coastal Personal Income [billion 2022$]",7.64825139996041
NA,"Total Employement",2022,74029.069926837,"As recorded",74029.069926837,121.226851906731,"Coastal Employment [thousands]",74.029069926837
NA,"Total Industry Output",2018,9998403617.84485,"As recorded",9998403617.84485,105.112221863417,"Coastal Industry Output [billion 2022$]",11.5312470157769
NA,"Total Industry Output",2019,10558100128.5215,"As recorded",10558100128.5215,106.876538692045,"Coastal Industry Output [billion 2022$]",11.9757362687867
NA,"Total Industry Output",2020,10502553490.4253,"As recorded",10502553490.4253,108.287966074286,"Coastal Industry Output [billion 2022$]",11.7574606189656
NA,"Total Industry Output",2021,12483645053.6048,"As recorded",12483645053.6048,113.252692384595,"Coastal Industry Output [billion 2022$]",13.362622630024
NA,"Total Industry Output",2022,14168939020.0193,"As recorded",14168939020.0193,121.226851906731,"Coastal Industry Output [billion 2022$]",14.1689390200193
NA,"Gross Domestic Product",2012,3288283677.01387,"Extrapolated",2578341256.39508,95.7547924993229,"Coastal Value Added [billion 2022$]",4.16301124921241
NA,"Gross Domestic Product",2015,4273481531.65565,"Extrapolated",3563539111.03685,100,"Coastal Value Added [billion 2022$]",5.18060712764169
NA,"Gross Domestic Product",2018,5073756708.64752,"Extrapolated",4363814288.02872,105.112221863417,"Coastal Value Added [billion 2022$]",5.85160833084877
NA,"Gross Domestic Product",2013,3456232445.72602,"Extrapolated",2746290025.10722,97.3844273465615,"Coastal Value Added [billion 2022$]",4.302414567395
NA,"Gross Domestic Product",2014,3615983022.02655,"Extrapolated",2906040601.40775,99.0804906972909,"Coastal Value Added [billion 2022$]",4.4242235300158
NA,"Gross Domestic Product",2016,4237123670.29224,"Extrapolated",3527181249.67345,100.950322501374,"Coastal Value Added [billion 2022$]",5.08817754081005
NA,"Gross Domestic Product",2017,4839548980.71825,"Extrapolated",4129606560.09945,102.758144170279,"Coastal Value Added [billion 2022$]",5.70936048250071
NA,"Gross Domestic Product",2011,3015775102.74678,"Extrapolated",2305832682.12798,94.0042733837922,"Coastal Value Added [billion 2022$]",3.88910959688056
NA,"Total Personal Income",2012,3188622166.97707,"Extrapolated",2064925314.39607,95.7547924993229,"Coastal Personal Income [billion 2022$]",4.03683844049249
NA,"Total Personal Income",2015,4612958555.05723,"Extrapolated",3489261702.47624,100,"Coastal Personal Income [billion 2022$]",5.59214443605811
NA,"Total Personal Income",2018,5479136807.10825,"Extrapolated",4355439954.52726,105.112221863417,"Coastal Personal Income [billion 2022$]",6.31913677131778
NA,"Total Personal Income",2013,3473653678.87778,"Extrapolated",2349956826.29679,97.3844273465615,"Coastal Personal Income [billion 2022$]",4.32410100442468
NA,"Total Personal Income",2014,3855243303.05681,"Extrapolated",2731546450.47581,99.0804906972909,"Coastal Personal Income [billion 2022$]",4.71696300326117
NA,"Total Personal Income",2016,4616695324.2544,"Extrapolated",3492998471.67341,100.950322501374,"Coastal Personal Income [billion 2022$]",5.54398863227275
NA,"Total Personal Income",2017,5081292906.69905,"Extrapolated",3957596054.11805,102.758144170279,"Coastal Personal Income [billion 2022$]",5.99455301250265
NA,"Total Personal Income",2011,2915279849.96618,"Extrapolated",1791582997.38519,94.0042733837922,"Coastal Personal Income [billion 2022$]",3.75951205107087
