"NAICS","A_MEAN"
"000000",50231.9150167404
"000001",61072.906469199
"110000",39819.3298817919
"113000",50698.7615792787
"113300",50698.7615792787
"115000",38768.4947410465
"115100",38374.5157705585
"115200",43931.6831115921
"210000",73129.4795807734
"211000",109139.006176188
"211100",109139.006176188
"212000",64765.9374646485
"212100",74824.2722166815
"212200",72591.5534829496
"212300",57182.148616302
"213000",65167.5476597477
"213100",65167.5476597477
"220000",93688.5898401725
"221000",93688.5898401725
"221100",97404.8361542951
"221111",97550.8293978749
"221112",99331.6309141395
"221113",114744.552836726
"221114",99036.1734566358
"221115",85197.0125523013
"221116",85607.3267326733
"221117",80367.091319053
"221118",111930.733333333
"221200",96417.849234176
"221300",62141.1855216882
"230000",64086.1975221606
"236000",69507.7973369285
"236100",62632.5365336127
"236200",77198.7278139233
"237000",67488.4872396772
"237100",66248.9889808052
"237130",68283.3739966481
"237200",83105.2738171449
"237300",67788.4124169998
"237900",67991.3399354912
"238000",61436.3469793653
"238100",58846.7304533975
"238110",57898.9843149441
"238140",58602.4187705434
"238160",57877.9587245006
"238200",65261.7092740944
"238210",66137.9660219257
"238220",63787.8680503928
"238290",71249.6270929493
"238300",57004.021867954
"238310",61658.9762068739
"238320",51720.1211038898
"238900",57628.6431943789
"31-33",60871.8289633984
"311000",46275.8104378228
"311100",52295.4921980906
"311200",61144.9317681102
"311300",46552.540624194
"311400",48414.0332032388
"311500",52938.8361096873
"311600",41537.4568502719
"311700",42251.8422551253
"311800",41417.4279003577
"311900",51188.0908556567
"312000",51789.3967135708
"312100",51214.549769813
"312200",66905.7132046916
"313000",44536.5695402046
"313100",39275.2528114001
"313200",46755.7471315288
"313300",48154.622706819
"314000",43154.9757026785
"314100",43588.4071465709
"314900",42703.1573351055
"315000",46380.8963124416
"315100",36376.1061467641
"315200",48485.4896972069
"315900",42746.7154690811
"316000",42409.2857142857
"316100",42966.0781758958
"316200",42764.7297653572
"316900",41977.3533619456
"321000",45223.4177460528
"321100",45559.9419618228
"321200",46905.7014841122
"321900",44421.566970988
"322000",59142.534844814
"322100",68522.4191614004
"322200",56059.9994078154
"323000",50683.9413646393
"323100",50683.9413646393
"324000",89417.9693027278
"324100",89417.9693027278
"325000",74253.4982037274
"3250A1",75155.0886257143
"3250A2",60785.3847768217
"325400",80833.6078511947
"326000",51381.4334406719
"326100",51021.0379337858
"326200",53069.4886183166
"327000",54198.1134380963
"331000",58197.3132888315
"331100",62215.040986766
"331200",58102.7432659318
"331300",59138.3940271743
"331400",61450.0665569312
"331500",53310.316540433
"332000",55470.3858123544
"3320A1",57240.5111633626
"3320A2",55318.7914374907
"332700",55648.9022859329
"332710",55695.1722054843
"332720",55509.0094508583
"332800",49078.8041027595
"333000",64133.7748016971
"3330A1",63526.6467501638
"333300",71040.6349097868
"333500",59723.7698373339
"333600",70372.0802919708
"334000",94186.8951652447
"334100",119657.212338101
"334200",89562.4805541764
"334300",86775.7907236658
"334400",82822.9393300388
"334500",96593.5175240868
"334600",78853.2015387903
"335000",62722.5773616867
"335100",60953.7933357517
"335200",62471.4943761596
"335300",65526.8760952627
"335900",60774.2143950158
"336000",68236.665707419
"336100",68843.4171594282
"336200",52256.6968853356
"336300",53906.1526014714
"336400",92464.2197076851
"336500",65620.1307401405
"336600",62083.7694216507
"336900",56591.8220896126
"337000",47809.7733183125
"3370A1",48202.3997789348
"337900",43772.6195263628
"339000",60666.6505187207
"339100",66714.6234376605
"339900",53836.0018937315
"339910",49797.8399485483
"420000",66990.5798108181
"423000",67221.6467976794
"4230A1",63474.6470046721
"423100",55645.6347090258
"423400",81638.7882373206
"423800",66231.3148967259
"423820",56554.0859369284
"424000",63254.0603465705
"4240A1",57186.3890491092
"4240A2",85631.1988109086
"4240A3",58331.2807137648
"424300",68982.1149952953
"424500",50334.3332855299
"425000",81678.5271818817
"425100",81678.5271818817
"44-45",40417.065812094
"441000",53750.8572823689
"441100",60601.2279193447
"441200",51790.344649675
"441300",39127.4773461061
"444000",39913.5604455615
"444100",40107.9920643275
"444200",38341.65598729
"445000",35085.9236303712
"4450A1",34927.1723317642
"445300",36417.1129741169
"449000",45241.6494738422
"449100",44848.8744000686
"449200",45623.5228987734
"455000",36190.6173640773
"456000",51015.4739679324
"456100",51015.4739679324
"456110",55941.3295946439
"457000",32722.9253787961
"457100",31062.0284748932
"457200",54844.0119199659
"458000",37361.3913601713
"458100",36837.4080054309
"458200",32915.4938365014
"458300",47557.079648916
"459000",39616.0792616055
"4590A1",36077.4445955437
"459100",37433.3239991703
"459110",37580.7293349488
"459200",34220.3674591712
"459300",33601.0941268598
"459900",46165.0754863239
"48-49",55638.9293165952
"481000",92920.8022710241
"481100",92295.949607536
